# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
7283.53186	1.935624E-17
7285.397489	1.935878E-17
7287.263118	1.850427E-17
7289.128747	1.831448E-17
7290.994376	2.106294E-17
7292.860005	2.102831E-17
7294.725634	2.092991E-17
7296.591263	2.338728E-17
7298.456892	2.245786E-17
7300.322521	2.548177E-17
7302.18815	2.63571E-17
7304.053779	3.145018E-17
7317.113182	3.533834E-17
7318.978811	2.783709E-17
7320.84444	2.912843E-17
7322.710069	3.089372E-17
7324.575697	2.834963E-17
7326.441326	2.844762E-17
7328.306955	2.967635E-17
7330.172584	3.364509E-17
7332.038213	3.114899E-17
7333.903842	3.051524E-17
7335.769471	3.151749E-17
7337.6351	3.083383E-17
7339.500729	2.816076E-17
7341.366358	2.779959E-17
7343.231987	2.909209E-17
7345.097616	3.119427E-17
7346.963245	3.092256E-17
7348.828874	2.955204E-17
7350.694503	2.892157E-17
7352.560132	2.968539E-17
7354.425761	3.196556E-17
7356.29139	3.191834E-17
7358.157019	3.211561E-17
7360.022648	3.435092E-17
7361.888277	3.663104E-17
7363.753906	3.548247E-17
7365.619535	3.310962E-17
7367.485164	3.406171E-17
7369.350793	3.306654E-17
7371.216422	3.351514E-17
7373.082051	3.557164E-17
7374.94768	3.596765E-17
7376.813309	3.628624E-17
7378.678938	3.491263E-17
7380.544567	3.520236E-17
7382.410195	3.710928E-17
7384.275824	3.739008E-17
7386.141453	3.703952E-17
7388.007082	3.333434E-17
7389.872711	3.415273E-17
7391.73834	3.639114E-17
7393.603969	3.667275E-17
7395.469598	3.842865E-17
7397.335227	3.306243E-17
7399.200856	3.420724E-17
7401.066485	3.352632E-17
7402.932114	3.548881E-17
7404.797743	3.628113E-17
7406.663372	3.772623E-17
7408.529001	3.896801E-17
7410.39463	3.601319E-17
7412.260259	3.57737E-17
7414.125888	3.542314E-17
7415.991517	3.473568E-17
7417.857146	3.658658E-17
7419.722775	3.767696E-17
7421.588404	3.807543E-17
7423.454033	3.869408E-17
7425.319662	3.774905E-17
7427.185291	3.611127E-17
7429.05092	3.607034E-17
7430.916549	3.53651E-17
7432.782178	3.823734E-17
7434.647807	3.942895E-17
7436.513436	3.666674E-17
7438.379065	3.575829E-17
7440.244693	3.619279E-17
7442.110322	3.678458E-17
7443.975951	3.766202E-17
7445.84158	3.758077E-17
7447.707209	3.867864E-17
7449.572838	3.851802E-17
7451.438467	3.701868E-17
7453.304096	3.68306E-17
7455.169725	3.947656E-17
7457.035354	3.750063E-17
7458.900983	3.910924E-17
7460.766612	3.877941E-17
7462.632241	4.016253E-17
